Unnamed: 0,product_name,product_price,weight,category,EAN,date_added,uuid,removed,product_code
54,Minecraft Caves & Cliffs Ender Dragon Playset,£19.99,0.79000kg,toys-and-games,8.35039E+12,01/07/2012,56122bfe-bbcf-44d1-acf0-38d5775e5f6e,Still_avaliable,U7-7575064z
55,Harry Potter Terrarium,£11.99,0.80000kg,toys-and-games,1.66931E+12,23/04/2001,e2c47bf2-630f-49dd-b5d8-8d5c2a241c57,Still_avaliable,O5-3308274i
56,Harry Potter Luminous Drawing Board,£14.99,1.08000kg,toys-and-games,1.89582E+12,12/09/2012,d69f907b-4c4e-4ddd-addc-fe109a663588,Still_avaliable,h2-1192921e
57,Sonic the Hedgehog Giant Eggman Robot Battle Set,£32.99,2.47600kg,toys-and-games,8.44355E+12,11/12/2001,5b96b11f-89d1-4b4b-89a3-ce4f8d6c1152,Still_avaliable,Z2-9848068O
58,Aqua Markers 50pk,£20.00,0.13700kg,toys-and-games,9.88931E+12,22/01/2002,36ced459-55cc-427e-9a38-81fd6015ebea,Still_avaliable,Y4-5527416w
59,Viper Go Kart,£120.00,11.50000kg,toys-and-games,3.35099E+12,07/03/2015,cb213c4e-78ef-4384-9b77-74414564fb4a,Still_avaliable,R8-9508754b
60,Huntsman Ambush Rifle,£10.00,0.38000kg,toys-and-games,8.28411E+12,18/04/2013,096526d2-cf21-4979-b3ba-f80cba59b6ff,Still_avaliable,k6-6272565F
61,Barbie Newborn Pups Playset,£21.99,0.44000kg,toys-and-games,1.64681E+12,26/07/2014,1cb1fa69-2962-4b74-ac23-2eccf81f215f,Still_avaliable,z6-0868371r
62,Rock Legend Electronic Drumkit with Stool,£30.00,2.75000kg,toys-and-games,1.13412E+12,19/10/2000,04467f63-3a23-42d6-81a0-1cc9c2e6eb96,Still_avaliable,r1-9695407l
63,Tie Dye Creator with Tote Bag,£12.99,0.91100kg,toys-and-games,4.68635E+12,09/12/2017,f35ecc61-5c28-4fd4-812e-84f9651ad8a0,Still_avaliable,Q5-3022807D
64,Super Slingshot Arena Game,£12.99,0.33000kg,toys-and-games,2.09403E+12,25/03/2000,dd3d00b7-8139-42cb-b97b-6722f7218d6c,Still_avaliable,q0-9351840W
65,Frustration,£12.99,1.00000kg,toys-and-games,7.26661E+12,04/02/2017,84336bef-b195-4545-a1d3-b1263c84dcc4,Still_avaliable,k9-7953223M
66,WWE Wrestlemania Superstar Ring & Figures Playset,£29.99,0.50000kg,toys-and-games,4.53812E+12,12/05/1999,297807ba-49e7-4c6c-9a01-314fe3c11b92,Still_avaliable,n9-3534053i
67,Hot Wheels Shark Transporter,£12.99,0.45000kg,toys-and-games,7.55005E+12,03/10/2005,b80573d1-a541-46db-ad18-2a929bd7d7ce,Removed,g6-788110q
68,Make Your Own Super Spa Set,£7.00,0.70000kg,toys-and-games,2.80321E+12,10/07/1994,bf28eeac-1a5f-45fd-ae7a-c38a12ac3785,Still_avaliable,r5-2078732l
69,Tri Ball X-Blaster,£12.99,0.41000kg,toys-and-games,5.57058E+12,16/09/2020,2821c64e-ff41-44fd-a5ee-5ac5d1110ebd,Still_avaliable,g3-8968515C
70,Ultimate Paint by Numbers Kit - Wild Animals,£12.99,1.30000kg,toys-and-games,1.22787E+12,07/04/2008,acd4fc56-fdb5-48cf-8937-105d8b22f1ad,Still_avaliable,s8-9601864E
71,Kids Crystal Creations - 3-in-1 Totally Fun Kit,£12.99,0.80000kg,toys-and-games,3.60127E+12,22/10/1995,f0f9233d-541f-444f-ad53-25ebba5efa5c,Still_avaliable,c4-9997249x
72,Nerf Blaster Inline Scooter,£24.99,2.00000kg,toys-and-games,6.201E+12,09/06/2017,f7dbf2d8-f887-4740-a613-85b6872fd89b,Still_avaliable,K2-9476324E
73,LEGO City Tractor,£13.99,0.34000kg,toys-and-games,4.88485E+12,20/09/2017,4827894b-9b58-43c1-ac42-b44e37058cb7,Still_avaliable,x0-2673899K
74,LEGO City Holiday Camper Van,£11.99,0.37000kg,toys-and-games,4.92005E+11,27/10/2003,5ff764ce-974c-4f83-842a-d6c046c9ff07,Still_avaliable,p1-5222274R
75,Marvel Action Figures Collectors Pack,£29.99,0.76000kg,toys-and-games,9.63924E+12,11/11/2013,0890509b-a210-4736-b269-9d09931a87d1,Still_avaliable,I7-3016291V
76,Crayola Ultimate Light Board,£16.99,1.18000kg,toys-and-games,9.83283E+12,13/10/2022,ac1baabd-3fe5-4ca9-a7df-4fd5d9863169,Still_avaliable,z3-4041655X
77,Star Wars The Child - Baby Yoda Plush Toy,£16.99,0.68500kg,toys-and-games,6.5022E+12,07/02/2011,84b9198c-26e6-4f9b-a9a3-770f2f3b03eb,Still_avaliable,M2-9293803v
78,LEGO Large Creative Brick Box,£32.99,1.59000kg,toys-and-games,4.3321E+12,07/07/2001,10765bde-b18c-481e-a670-5a050300ba83,Still_avaliable,a3-0069189f
79,Paw Patrol Chase & Marshall Track Patrol,£19.99,1.40000kg,toys-and-games,7.80066E+12,07/07/2006,dfdb505b-5f8c-4477-953d-d8b3c50cdd73,Still_avaliable,q6-6969580o
80,Zuru Smashers Epic Dino Egg Collectibles Series 3,£16.99,0.79000kg,toys-and-games,6.87802E+12,04/01/2014,6e41ecdf-f25d-4091-990f-7ab7c08ff1b2,Still_avaliable,A2-3147878s
81,Disney Frozen Petite Adventure Gift Set 5pk,£30.99,0.80000kg,toys-and-games,6.20157E+12,23/03/2006,3efb6c05-0155-49fe-afcb-a27db5695247,Still_avaliable,z6-5492111k
82,The Ultimate Slime Kit,£12.99,1.66000kg,toys-and-games,4.77888E+12,10/01/2014,fc361bcb-cb1b-4865-ba19-7cf233663552,Still_avaliable,X1-0417502l
83,Wired E-350 Electric Scooter,£270.00,13.50000kg,toys-and-games,4.87063E+12,25/11/2009,c81bb43f-5b70-4055-8f18-36ec873a655a,Still_avaliable,u3-2735117T
84,Zuru X Shot Chaos,£12.99,0.66000kg,toys-and-games,1.93077E+12,26/05/1999,5e221910-1eef-4504-b537-9780fc6253c9,Still_avaliable,j5-153373x
85,LEGO Flower Bouquet,£40.99,0.74500kg,toys-and-games,7.91203E+12,14/05/2001,54029834-105a-4e31-8edc-9dd990426a8d,Still_avaliable,I8-9598111e
86,LEGO Star Wars The Mandalorian Helmet,£42.99,0.79000kg,toys-and-games,8.94638E+12,20/09/2013,3b68765c-8fc5-4427-a78e-893a1d7e430c,Still_avaliable,t3-607663j
87,LEGO 1960 Vespa 125,£71.99,1.44000kg,toys-and-games,2.49349E+12,20/07/2013,de9291ac-7366-403f-949c-bbc20a2b433c,Still_avaliable,H7-3096678F
88,LEGO Bonsai Tree,£34.99,0.74000kg,toys-and-games,2.45098E+12,26/09/2000,d07aabea-1d3c-4c67-bd3e-5a3a9cb39454,Still_avaliable,y2-5766330U
89,LEGO Ideas Sonic the Hedgehog Green Hill Zone,£52.99,1.00000kg,toys-and-games,3.02721E+12,01/08/2020,44627e83-6fb0-42ae-a56d-a7ebf228aafe,Still_avaliable,j7-2855024l
90,X-Shot FaZe Respawn Blaster,£13.00,0.66000kg,toys-and-games,9.27786E+12,16/10/2016,72c63266-d828-40ff-9b63-a30b866606f7,Still_avaliable,k3-5413910s
91,Zuru X-Shot Chaos Meteor,£12.99,0.66000kg,toys-and-games,1.39503E+12,12/12/2000,5167cae2-e1ff-4fa6-bfb5-4d7315123dac,Still_avaliable,V8-3495348u
92,Kaleidoscope Sticker Mosaics - Wild Creatures,£2.25,0.41900kg,toys-and-games,8.71654E+12,17/09/1997,7c884474-e194-4fc9-ae32-434e263b49dd,Still_avaliable,b9-7042914O
93,Kaleidoscope Sticker Mosaics - Neon Nature,£3.00,0.41800kg,toys-and-games,5.83088E+12,01/10/1999,0663061c-7b5d-4402-8801-cc86de4b01b4,Still_avaliable,N2-1953796y
94,ArtMaker Essentials: Manga,£3.50,0.47000kg,toys-and-games,2.14719E+11,02/11/2021,2fab310a-dc4c-4a7c-9e72-2500b67b8608,Still_avaliable,g7-3523071h
95,Crystal Creations - Unicorn,£4.00,0.35300kg,toys-and-games,4.23664E+12,12/10/2009,341ee927-fd49-4424-8173-7d3f96c002de,Still_avaliable,H6-8233112l
96,Crystal Creations - Elephant,£4.00,0.35300kg,toys-and-games,7.01931E+12,24/08/1994,449165b8-f544-4af2-998b-52420b858f08,Still_avaliable,p9-7606658G
97,Crystal Creations - Deer,£4.00,0.35000kg,toys-and-games,2.6655E+12,25/10/2001,c473bb59-bd51-4aae-a03a-954ea9fc3c1c,Still_avaliable,Q6-9405554s
98,Light Up Crystal Canvas - Owls,£12.99,0.96000kg,toys-and-games,2.77282E+11,02/12/2001,49cb0446-2c01-4994-ab9f-28aac925bf2c,Still_avaliable,c8-3806111Y
99,Light Up Crystal Canvas - Tiger,£12.99,0.96000kg,toys-and-games,2.02098E+12,21/07/2010,bc092ade-0907-44dd-a911-59f7fd19fbe3,Still_avaliable,N6-5815005e
100,Light Up Crystal Canvas - Wolves,£12.99,0.96000kg,toys-and-games,6.5827E+12,06/05/1993,904b6add-bf19-44e7-9bff-a9ce957407f4,Still_avaliable,X2-5848901O
101,Science & Play Scorpion Robot,£24.99,1.20000kg,toys-and-games,4.01803E+12,01/12/2017,9846a5e6-69e9-4219-9111-03c0911dcf31,Still_avaliable,d0-3762988t
102,Cards Against Humanity Family Edition,£26.99,1.21000kg,toys-and-games,9.50699E+11,20/10/2015,3038df2d-4b34-4523-8f28-30e1c0a0cc7d,Still_avaliable,v1-7546927q
103,What Do You Meme Family Edition,£19.99,1.02000kg,toys-and-games,7.40494E+12,17/11/2003,bc070081-7953-403d-94b6-124ee9567366,Still_avaliable,e2-8041030P
104,LEGO Speed Champions Fast & Furious 1970 Dodge Charger R/T,£19.99,0.36500kg,toys-and-games,2.32129E+12,01/03/2010,48b42e1a-b2df-4001-9ad9-7d5f7d49a69d,Still_avaliable,c6-1218333p
105,The LEGO Speed Champions 007 Aston Martin DB5,£17.99,0.34000kg,toys-and-games,1.84494E+12,25/01/2021,1e26e91a-18f6-46a8-9070-132ca2958a24,Still_avaliable,I5-8282517U
106,LEGO Star Wars Obi-Wan Kenobi vs Darth Vader,£32.99,0.67700kg,toys-and-games,75966157969,25/05/2014,0a118260-e4d6-4659-af9e-138f265c9ee0,Still_avaliable,t5-6618878a
107,LEGO Minecraft The Skeleton Dungeon,£19.99,0.55000kg,toys-and-games,9.59068E+12,12/04/2014,fb483ffb-74de-49c9-8789-b3c082845252,Still_avaliable,f8-7227369O
108,Hasbro Keychain Games Super Pack 5pk,£7.00,0.43000kg,toys-and-games,6.83117E+12,12/08/2014,5a62339f-892d-43df-be04-9c4dbecc3fbb,Removed,Q1-6904200T
109,Sky Hawk Aerial Drone,£20.00,0.11000kg,toys-and-games,6.52729E+12,03/07/1996,ff01e5c0-7efb-44d3-b43e-55eed009badd,Still_avaliable,E1-0514147p
110,Artmaker Ultimate Colouring Case,£12.99,1.23000kg,toys-and-games,8.30767E+12,16/04/2019,a1fe499f-eff4-4ac4-9b5f-a2fd091fbfd5,Still_avaliable,M7-9563436j
111,Juicy Couture Glamour Jewellery Box 379pcs,£12.99,0.41000kg,toys-and-games,8.1846E+12,05/11/2002,c4464236-2c64-4042-ae9c-8caa7a316e04,Still_avaliable,q4-229130w
112,Shimmer & Sparkle Real Massaging Foot Spa,£25.00,1.38000kg,toys-and-games,7.59194E+12,31/01/1993,163a249c-946e-42b7-91a2-1340d4487604,Still_avaliable,Z0-8213759K
113,Harry Potter Terrarium,£11.99,0.80000kg,toys-and-games,3.89752E+12,09/04/1999,146dcdbb-66c8-4935-8f81-dcd01c55a675,Still_avaliable,g6-0313456t
114,Kaleidoscope Ultimate Neon Colouring Case,£12.99,1.36250kg,toys-and-games,1.74036E+12,01/11/2009,38ec4fb4-b435-4278-8813-6242b09ce7bc,Still_avaliable,c7-6037573k
115,Harry Potter Luminous Drawing Board,£14.99,1.08000kg,toys-and-games,9.81289E+12,21/05/2013,35a1da8b-fd96-4631-8d27-1b5ee7db5a58,Still_avaliable,M0-5087883B
116,Glitter Make Up Case,£14.99,1.03000kg,toys-and-games,3.2422E+12,15/10/2001,6ec5e719-c073-44fc-a83c-ee0a8ad82d51,Still_avaliable,N8-6376991R
117,Cluedo,£13.99,0.87000kg,toys-and-games,9.16605E+12,18/04/2014,e7993ad6-e7d7-457c-a7cc-f84c60403c1a,Still_avaliable,Z6-1142800i
118,Ultimate Crystal Creations - Wild Animals,£12.99,0.98000kg,toys-and-games,5.78096E+12,24/03/2002,0f6e381b-30e1-4733-88f1-f50e9fc2b8b5,Still_avaliable,T3-0974316x
119,Science & Play Scorpion Robot,£24.99,1.20000kg,toys-and-games,4.51643E+12,06/10/1994,444cf3ca-4535-4121-bae6-55e2482626a6,Still_avaliable,O1-4855617h
120,Cards Against Humanity Family Edition,£26.99,1.21000kg,toys-and-games,4.70489E+12,15/04/2005,c8e8e306-231c-408c-aefa-1a2cb1f7254c,Removed,v5-7518429i
121,What Do You Meme Family Edition,£19.99,1.02000kg,toys-and-games,7.14293E+12,03/08/2006,34f95d2c-7f7a-411c-97a4-046c1653acff,Still_avaliable,A0-199587D
122,LEGO Speed Champions Fast & Furious 1970 Dodge Charger R/T,£19.99,0.36500kg,toys-and-games,2.55265E+12,07/04/1996,40602732-0192-4f69-a682-d6406589242a,Still_avaliable,q2-4145760Y
123,The LEGO Speed Champions 007 Aston Martin DB5,£17.99,0.34000kg,toys-and-games,7.96097E+12,26/11/1993,c9966021-7d36-4b19-a353-37f7dada7eb3,Still_avaliable,f9-4142875O
124,LEGO Star Wars Obi-Wan Kenobi vs Darth Vader,£32.99,0.67700kg,toys-and-games,5.30833E+12,07/11/1995,1aca6c88-b2e9-4abb-94be-b991899850e9,Still_avaliable,L8-655498D
125,LEGO Minecraft The Skeleton Dungeon,£19.99,0.55000kg,toys-and-games,7.38977E+12,07/09/2002,0d4ebca5-3ada-4862-be23-55caa4a2c549,Still_avaliable,x9-3229911K
126,Hasbro Keychain Games Super Pack 5pk,£7.00,0.43000kg,toys-and-games,8.73378E+12,26/11/2009,d4f7918d-9f06-467b-87dd-eb4c3e4566a2,Still_avaliable,G1-2274729E
127,Sky Hawk Aerial Drone,£20.00,0.11000kg,toys-and-games,4.47023E+12,19/08/2008,c3e51cc7-b6f6-4799-bcad-ae5e527c52e1,Still_avaliable,a0-5197379h
128,Artmaker Ultimate Colouring Case,£12.99,1.23000kg,toys-and-games,1.54725E+12,14/10/2001,888d2e87-25e7-423f-95e8-fae3476de351,Still_avaliable,E5-6409069F
129,Juicy Couture Glamour Jewellery Box 379pcs,£12.99,0.41000kg,toys-and-games,3.25563E+12,17/11/2007,f544adb8-d974-46da-a009-3cc2989bd224,Still_avaliable,z4-2303734s
130,Shimmer & Sparkle Real Massaging Foot Spa,£25.00,1.38000kg,toys-and-games,6.87892E+12,09/05/2010,a2838d7c-dfe6-4828-b242-8be18f18bc24,Still_avaliable,E1-3843907p
131,Harry Potter Terrarium,£11.99,0.80000kg,toys-and-games,4.61892E+12,13/07/2012,2ba5f0a1-62ff-42d8-9964-2eef1dcc79c8,Still_avaliable,x6-5318136C
132,Kaleidoscope Ultimate Neon Colouring Case,£12.99,1.36250kg,toys-and-games,2.40641E+12,30/01/1996,0d38d637-44b8-43c1-b198-24282e839692,Still_avaliable,C4-0663183P
133,Harry Potter Luminous Drawing Board,£14.99,1.08000kg,toys-and-games,9.3962E+12,01/03/2022,ced692aa-662e-4f06-9daa-a2f2e150e797,Still_avaliable,b1-9587201G
134,Glitter Make Up Case,£14.99,1.03000kg,toys-and-games,3.60528E+12,06/09/2011,4f42bc9d-396a-4f07-a992-6a22fc2290da,Still_avaliable,Q6-0378308i
135,Cluedo,£13.99,0.87000kg,toys-and-games,1.05988E+12,18/02/2010,fbcee55b-45f7-473b-863b-eef954f4b448,Removed,Y2-1865468L
136,Ultimate Crystal Creations - Wild Animals,£12.99,0.98000kg,toys-and-games,6.10095E+12,30/04/2019,e00c54a6-435c-47a3-a76c-99393e0050db,Still_avaliable,I9-2275056m
137,LEGO Technic McLaren Senna GTR,£34.99,0.98000kg,toys-and-games,7.04169E+12,26/11/2006,5e78a455-9c76-4958-be6a-dcce17e1c540,Still_avaliable,f9-2739620i
138,LEGO Technic Monster Jam Grave Digger,£13.99,0.39000kg,toys-and-games,3.74781E+12,18/10/2011,9c8e0613-4cb6-4127-823d-1e4f8c7e3d0a,Still_avaliable,s7-8739998s
139,LEGO Minecraft The Trading Post,£15.99,0.35000kg,toys-and-games,6.27553E+12,30/01/2016,6da805e3-e9c9-4701-bf9b-aa5d01ae13cd,Still_avaliable,V4-9229868L
140,LEGO Minecraft The Abandoned Mine,£17.99,0.42000kg,toys-and-games,1.56933E+12,07/08/2010,1a030021-4585-4839-935a-e1afe364bcd4,Still_avaliable,C8-6023618w
141,LEGO Minecraft Bee Farm,£15.99,0.36500kg,toys-and-games,6.81303E+12,14/02/2015,4a10468f-d6b1-48d3-a66c-893cc475be81,Still_avaliable,C9-7995355z
142,LEGO The Mandalorian & The Child,£12.99,0.27000kg,toys-and-games,9.20255E+12,21/06/2021,95ae62a5-622e-41c4-b48b-88308b347c6a,Still_avaliable,g0-566549g
143,Ultimate Etch Art Creations Set,£12.99,1.30000kg,toys-and-games,9.82387E+12,03/06/1999,9399b354-dd8f-470c-8d92-24254c1307ac,Still_avaliable,S2-7206822M
